species,frequency
s__Ruminococcus_E sp900317315,16
s__RUG420 sp900317985,10
s__Ruminococcus_E sp900316555,9
s__UBA4334 sp900316505,8
s__CAG-791 sp900317555,8
s__Sharpea azabuensis,6
s__Ruminococcus_E sp900100595,6
s__RUG420 sp900317085,6
s__Prevotella sp900318625,6
s__UBA1777 sp900317375,6
s__Sodaliphilus sp900318065,6
s__CAG-791 sp900320325,6
s__Olsenella umbonata,6
s__Succiniclasticum sp900315925,5
s__RC9 sp900316045,5
s__UBA1711 sp900317125,5
s__Prevotella sp900316645,5
s__Sodaliphilus sp900318335,5
s__UBA2810 sp900317945,5
s__Prevotella sp900318795,5
s__CAG-791 sp900320025,5
s__Methanobrevibacter_B sp900314605,4
s__UBA7748 sp900314535,4
s__Prevotella sp900314755,4
s__Methanobrevibacter_A sp900314695,4
s__Eubacterium_T pyruvativorans,4
s__Prevotella sp900314915,4
s__Prevotella sp900315775,4
s__UBA1711 sp900319865,4
s__RF16 sp900317745,4
s__RC9 sp900317845,4
s__RC9 sp900317925,4
s__Sodaliphilus sp900318535,4
s__RC9 sp900321715,4
s__Prevotella sp900314935,3
s__Bulleidia massiliensis_B,3
s__Prevotella sp900317305,3
s__Prevotella sp900314985,3
s__Prevotella sp900315095,3
s__UBA1066 sp900315305,3
s__CAG-110 sp900315595,3
s__Ruminococcus_E sp900315605,3
s__Prevotella sp900315955,3
s__RUG306 sp900316075,3
s__UBA1711 sp900317285,3
s__Prevotella sp900316285,3
s__CAG-964 sp900316615,3
s__Sodaliphilus sp900316835,3
s__Treponema_D sp900316905,3
s__CAG-791 sp900318875,3
s__CAG-791 sp900317475,3
s__ER4 sp900317525,3
s__RUG472 sp902768995,3
s__F082 sp900318085,3
s__Ruminococcus_D sp900319075,3
s__Ruminococcus_E sp900319655,3
s__Eubacterium_A sp900321685,3
s__RC9 sp002354005,3
s__Prevotella sp900318915,3
s__Dialister sp900314595,2
s__NK3B98 sp900314485,2
s__RUG013 sp001486445,2
s__Methanobrevibacter sp900314635,2
s__RUG023 sp900315435,2
s__RUG024 sp900314765,2
s__CADAUA01 sp900315375,2
s__Prevotella sp900314715,2
s__RUG039 sp900314875,2
s__Ruminococcus_E sp900314795,2
s__UBA2912 sp900314845,2
s__Bulleidia massiliensis_A,2
s__Catonella sp900314885,2
s__Prevotella sp900314945,2
s__CAG-791 sp900315055,2
s__Prevotella sp900315525,2
s__Prevotella sp900314995,2
s__Duodenibacillus sp900315045,2
s__UBA2897 sp900315155,2
s__Prevotella sp900319905,2
s__Ruminococcus_E sp900315085,2
s__Acidaminococcus sp900315205,2
s__F082 sp900315175,2
s__RUG760 sp900315265,2
s__Prevotella sp002251295,2
s__CAG-180 sp900315985,2
s__RUG420 sp900315285,2
s__RUG099 sp900315485,2
s__Prevotella sp900315635,2
s__Selenomonas_C sp900315575,2
s__UBA2862 sp900315585,2
s__GCA-900199385 sp900315675,2
s__F23-D06 sp900315705,2
s__Prevotella sp900315765,2
s__Eubacterium_Q sp900316715,2
s__RUG754 sp900315895,2
s__Prevotella sp900316015,2
s__RUG350 sp900315995,2
s__RUG147 sp900315495,2
s__Ruminococcus sp900315975,2
s__UBA1711 sp900316235,2
s__RUG626 sp900317385,2
s__Ruminococcus flavefaciens_R,2
s__Prevotella sp900316265,2
s__Prevotella sp900316295,2
s__Methanobrevibacter_A sp900317865,2
s__UBA733 sp900316365,2
s__RC9 sp900316525,2
s__UBA629 sp900316625,2
s__UBA1777 sp900319835,2
s__Prevotella sp900316685,2
s__Fibrobacter sp900142495,2
s__Succiniclasticum sp900316935,2
s__RUG163 sp900316995,2
s__RC9 sp900318445,2
s__UBA1066 sp900317045,2
s__UBA2912 sp900317095,2
s__Prevotella sp900318555,2
s__F082 sp900317155,2
s__Eubacterium_H sp900317175,2
s__Prevotella sp900317405,2
s__UBA1066 sp900317515,2
s__UBA2882 sp900317505,2
s__Prevotella sp900317685,2
s__RUG099 sp900317675,2
s__Weimerbacter sp900317825,2
s__Prevotella sp900318395,2
s__UBA2862 sp900318045,2
s__Sodaliphilus sp900318205,2
s__Absicoccus porci,2
s__F082 sp900318265,2
s__Bulleidia timonensis,2
s__UBA2856 sp900318615,2
s__UBA3663 sp900319235,2
s__RF16 sp900319025,2
s__UBA1179 sp900318995,2
s__Prevotella sp900313215,2
s__UBA2856 sp900319065,2
s__Sodaliphilus sp900320245,2
s__Sodaliphilus sp900320055,2
s__CAG-127 sp900319515,2
s__RUG643 sp900321035,2
s__UBA3839 sp900321835,2
s__Bulleidia sp900319505,2
s__Streptococcus equinus,2
s__Prevotella sp900319715,2
s__UBA2856 sp902800805,2
s__Methanobrevibacter_A sp900319985,2
s__UBA1732 sp900320095,2
s__RC9 sp900320185,2
s__UBA4372 sp900320565,2
s__Methanobrevibacter_A sp900320515,2
s__RC9 sp900321655,2
s__Alloprevotella sp900321445,2
s__RF16 sp900321605,2
s__Sodaliphilus pleomorphus,2
s__Methanomethylophilus sp001481295,2
s__UBA7741 sp900314575,1
s__UBA1367 sp900314645,1
s__Prevotella sp900315455,1
s__UBA7741 sp900314495,1
s__UBA1066 sp900314565,1
s__Ruminococcus flavefaciens_E,1
s__Ruminococcus_E bromii_A,1
s__CAG-603 sp900314525,1
s__CAG-603 sp900314555,1
s__Methanobrevibacter_A sp900314615,1
s__UBA3207 sp900314585,1
s__Olegusella sp900314685,1
s__Ruminococcus_E sp900314705,1
s__UBA2912 sp900314775,1
s__Saccharofermentans sp900314745,1
s__Prevotella sp900314655,1
s__RUG033 sp900314665,1
s__Phil12 sp900314725,1
s__Lachnobacterium bovis,1
s__UBA2450 sp900314865,1
s__Selenomonas_C sp900314825,1
s__Acidaminococcus fermentans,1
s__Succiniclasticum sp900314855,1
s__Bulleidia sp900314905,1
s__Bulleidia sp900315065,1
s__Ruminococcus_D sp900314975,1
s__UBA1711 sp900314925,1
s__Ruminobacter sp900315145,1
s__UBA9722 sp900315015,1
